taxon_id,scientific_name,observation_count
55724,Symphytum officinale,522
62211,Potentilla recta,519
47570,Populus alba,517
55727,Cymbalaria muralis,517
164720,Lomatium columbianum,516
78027,Micranthes integrifolia,515
56162,Malva sylvestris,514
63567,Picea abies,514
57524,Crocidium multicaule,512
124461,Rhytidiopsis robusta,512
53320,Vicia americana,511
49130,Myosotis scorpioides,510
58127,Chenopodium album,510
84732,Erigeron speciosus,510
127100,Calyptridium umbellatum,510
146900,Mertensia paniculata,509
62213,Comarum palustre,507
60522,Aconitum columbianum,506
77738,Ligusticum grayi,503
164028,Iberis sempervirens,501
78174,Nasturtium officinale,500
77897,Luzula parviflora,499
52162,Cakile edentula,497
58893,Euphorbia maculata,497
153479,Delphinium menziesii,496
163549,Hedera hibernica,496
71127,Artemisia ludoviciana,491
76716,Drymocallis glandulosa,491
1123491,Pulvigera lyellii,491
61145,Veronica wormskjoldii,490
167829,Rhus typhina,484
54518,Lemna minor,482
51119,Nymphaea odorata,481
204364,Neottia cordata,481
76836,Epilobium luteum,478
950601,Anemonoides oregana,478
57793,Gilia capitata,476
204321,Ficaria verna,476
67949,Dicranoweisia cirrata,474
52973,Cerastium glomeratum,473
60951,Hydrocotyle ranunculoides,471
58722,Pinus sylvestris,470
56306,Erica carnea,469
64288,Polypodium scouleri,469
143681,Silene parryi,469
75765,Bidens cernua,466
52796,Hordeum murinum,464
75446,Angelica arguta,463
76078,Carex mertensii,463
53096,Antennaria rosea,462
128077,Castilleja levisecta,462
162517,Erigeron poliospermus,462
62652,Mentha spicata,461
361461,Caltha biflora,461
77805,Lomatium dissectum,460
79514,Viola palustris,460
472796,Myriopteris gracillima,458
53582,Liriodendron tulipifera,457
53723,Calocedrus decurrens,456
126550,Helleborus orientalis,456
61396,Origanum vulgare,455
61481,Viola riviniana,455
49005,Quercus rubra,453
75303,Agoseris glauca,453
78697,Polystichum lonchitis,453
75609,Asplenium trichomanes,451
76986,Eriogonum elatum,451
120525,Acer griseum,450
48986,Pedicularis ornithorhynchos,449
77418,Hieracium scouleri,449
48938,Eriogonum ovalifolium,447
59028,Verbascum blattaria,447
57896,Salsola tragus,446
55845,Viola odorata,445
425378,Glandora prostrata,445
854075,Lewisiopsis tweedyi,445
53052,Foeniculum vulgare,444
76409,Collinsia grandiflora,443
61010,Lupinus arboreus,442
47565,Populus nigra,441
50706,Cephalanthera austiniae,441
56617,Ceanothus thyrsiflorus,440
57276,Triphysaria pusilla,439
1234068,Lomatium klickitatense,439
55436,Amsinckia menziesii,438
58369,Bromus tectorum,438
143667,Erigeron aureus,435
52676,Pentagramma triangularis,433
55885,Lonicera periclymenum,433
78280,Oreostemma alpigenum,433
131227,Neottia banksiana,433
164719,Lomatium brandegeei,433
119791,Acer pseudoplatanus,432
56035,Kniphofia uvaria,431
57132,Triteleia hyacinthina,431
56065,Galium odoratum,430
166852,Physocarpus malvaceus,430
55730,Spergularia rubra,429
133397,Buxus sempervirens,429
56133,Quercus robur,427
58991,Portulaca oleracea,427
76197,Ceanothus sanguineus,427
79389,Triantha occidentalis,426
117433,Euonymus alatus,426
130197,Ulva intestinalis,425
62585,Mertensia longiflora,423
76111,Carex spectabilis,423
79072,Shepherdia canadensis,423
63216,Polystichum lemmonii,420
119121,Penstemon confertus,420
78216,Nestotus stenophyllus,417
166364,Penstemon gairdneri,417
67591,Oxyria digyna,416
79025,Sedum album,416
77643,Lathyrus polyphyllus,415
487175,Primula hendersonii,415
967218,Campanula alaskana,415
75931,Calendula officinalis,413
53108,Lactuca virosa,412
79471,Vaccinium scoparium,412
136366,Gnaphalium uliginosum,411
133366,Cotinus coggygria,410
51809,Lysimachia nummularia,409
57727,Iris tenax,407
127228,Bergenia crassifolia,407
166432,Penstemon richardsonii,407
58729,Toxicodendron rydbergii,406
63935,Juglans regia,404
129054,Tulipa gesneriana,404
76300,Chondrilla juncea,402
77640,Lathyrus nevadensis,401
56992,Lobularia maritima,399
158719,Artemisia rigida,399
159764,Campanula persicifolia,398
56113,Symphyotrichum foliaceum,397
771865,Erythranthe decora,397
48152,Cynoglossum officinale,396
71112,Viola orbiculata,396
76210,Centaurea diffusa,394
126585,Hibiscus syriacus,394
1240407,Lomatium multifidum,391
55884,Rosa canina,390
60015,Dianthus barbatus,390
55021,Arabidopsis thaliana,389
55667,Sagina procumbens,389
56121,Capsella bursa-pastoris,388
64694,Elaeagnus angustifolia,388
57036,Euphorbia peplus,387
78016,Menyanthes trifoliata,385
163112,Fuchsia magellanica,385
52287,Borago officinalis,384
48622,Nepeta cataria,383
52971,Epilobium brachycarpum,383
126558,Phyllodoce glanduliflora,381
61992,Grindelia stricta,380
53203,Clinopodium douglasii,378
768183,Koenigia davisiae,377
57730,Iris missouriensis,376
167681,Racomitrium elongatum,376
62691,Lupinus argenteus,375
164730,Lomatium geyeri,375
47553,Taxus baccata,374
54227,Fagus sylvatica,374
70045,Acanthus mollis,374
119792,Paulownia tomentosa,373
145531,Delphinium glareosum,373
159696,Calochortus subalpinus,373
63735,Prunus domestica,371
62207,Oenothera biennis,370
62474,Opuntia fragilis,367
77470,Hydrophyllum fendleri,366
127916,Streptopus lanceolatus,366
564970,Chamaenerion latifolium,365
60969,Jaumea carnosa,363
126710,Magnolia stellata,363
287309,Choisya ternata,363
59991,Comandra umbellata,362
75469,Antennaria racemosa,362
77872,Lupinus littoralis,362
52993,Cirsium brevistylum,354
55411,Raphanus raphanistrum,354
126930,Daphne odora,354
53173,Phacelia nemoralis,352
55752,Valerianella locusta,351
126637,Hyacinthus orientalis,350
143868,Penstemon cardwellii,350
244075,Syntrichia ruralis,350
411074,Cotoneaster coriaceus,349
50708,Corallorhiza striata,348
60500,Veratrum californicum,348
77719,Leucanthemum maximum,348
79153,Solidago multiradiata,348
158615,Argentina anserina,348
57254,Pyracantha coccinea,346
78553,Phoenicaulis cheiranthoides,346
204303,Diphasiastrum sitchense,346
50712,Cypripedium montanum,344
127480,Stachys byzantina,344
204340,Lamprocapnos spectabilis,343
121763,Castanea sativa,342
123692,Scapania bolanderi,342
